SF Link,Account Name,Status,Combined Activation Status,Brightwheel Plan,Monthly Spend,EC Customer,K12 Signal,Website,City,State,Zip,Phone,Customer Type,Active Students,Billing Active (L30D)
0013u00001LM61KAAT,Early Childhood Education - Lynwood Unified School District - Location 9,Customer (Non-Premium),Onboarding,,,No,Name (District),,,,,,Enterprise,,
001PB00000QOAbxYAH,Etiwanda School District,Customer (Non-Premium),SaaS and Billing Activated,,,No,Name (District),,,,,,Government Payer,,
001PB00000KqtbDYAR,Fairmont School District 89,Customer (Non-Premium),SaaS Only Activated,Free,,Yes,Name (District),fsd89.org,Lockport,Illinois,60441,815-726-6156 ext 4114,,36,
001Rd00000DrKFfIAN,Georgetown Elementary School,Customer (Non-Premium),Onboarding,,,No,"Website, Contact Email",gtown.k12.oh.us,Georgetown,Ohio,45121,(937) 378-6235,,,
0013u00001W1KIBAA3,H.E. WHITE ELEMENTARY (CLAY CO) HEAD START,Customer (Non-Premium),Onboarding,Inactive,,No,Website,https://cms.wayn.k12.wv.us/o/cpk/page/about-us,BOMONT,WV,25030,3045487101,Multi-Site Parent,8,
001Rd000009AyP8IAK,Bright Beginnings,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,Website,WWW.OVESC.K12.OH.US,Beallsville,Ohio,43716,4407317397,Single-Site,27,Yes
001PB00000M5aXeYAJ,LSSC Employee Child Care Center,Active Premium Customer,SaaS Only Activated,Premium,$49.00,No,"Website, Contact Email",lssc.k12.in.us,,Indiana,,(812) 847-6020 ext 3099,Single-Site,26,
0013u000017ZbvjAAC,Layton High Child Care Training Center,Active Premium Customer,SaaS Only Activated,Premium,$42.50,No,Website,https://lhs.davis.k12.ut.us/,Salt Lake City,Utah,84041,8014024930,Multi-Site Child,26,
001Rd00000CHW4fIAH,MVESC: Caldwell School District,Customer (Non-Premium),SaaS and Billing Activated,Premium,,No,Name (District),,,,,,Multi-Site Child,25,Yes
001Rd00000Ah92JIAR,Lake Elsinore Unified School District,Customer (Non-Premium),SaaS and Billing Activated,,,No,Name (District),,Toledo,California,92532,5626767505,Single-Site,,
001PB00000WcBjDYAV,The District 7 Learning Circles,Active Premium Customer,SaaS Only Activated,Premium,$49.00,No,Name (District),unleashedjoychildcare.org,Capital Heights,Maryland,20743,(301) 395-2382,Single-Site,24,
001Rd00000BJ8DGIA1,Scott County School District 2 - Lexington Elementary,Active Premium Customer,SaaS Only Activated,Premium,$0.10,No,"Contact Email, Name (District)",,,,,,Multi-Site Child,24,
001Rd000001fw15IAA,South Valley Multi-District Special Education Preschool,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,Name (District),http://www.sendcaa.org,Lisbon,ND,58054,7016833014,Single-Site,23,
0013u00001J0iMIAAZ,Sunrise Children's Club Preschool - Location 2,Cancelled Customer,SaaS and Billing Activated,Free,,No,Website,http://www.rimsd.k12.ca.us,Crestline,CALIFORNIA,92378,909-337-7275,Multi-Site Child,23,No
0013u000016StyRAAS,Troy Preschool,Active Premium Customer,SaaS and Billing Activated,Premium,$72.50,No,Website,https://tsdpreschool.troy.k12.mi.us/,Troy,ID,83871,2088354442,Single-Site,22,Yes
0013u000015x1fAAAQ,Magness Creek Pre-K -Cabot Public Schools PreK,Customer (Non-Premium),SaaS Only Activated,Inactive,,No,"Website, Contact Email",cabot.k12.ar.us,Cabot,ARKANSAS,72023,(501) 843-3363,Multi-Site Child,33,
001Rd000001cUejIAE,Marana Unified School District,Customer (Non-Premium),Onboarding,Inactive,,No,Name (District),,Tucson,AZ,85741,520-682-3243,Multi-Site Child,,
0013u00001GmRUFAA3,Marana Unified School District (MUSD),Customer (Non-Premium),SaaS and Billing Activated,Inactive,,No,Name (District),maranausd.org,Marana,Arizona,85653,(520) 352-2421,,187,No
001Rd00000FIRtyIAH,Marion Community Schools - Little Giants Preschool,Customer (Non-Premium),Onboarding,,,No,"Website, Contact Email",http://www.marion.k12.in.us/,Marion,Indiana,46953,7652513950,,,
0011I00000bA1GrQAK,Early Childhood 3K,Active Premium Customer,SaaS Only Activated,Premium,$65.00,No,"Website, Contact Email",greenfield.k12.wi.us,Chicago,Illinois,60126-4838,4145299090,Single-Site,22,
0013u00001kw89dAAA,Michigan City - Clay,Customer (Non-Premium),Onboarding,Premium,,No,"Website, Contact Email",mcas.k12.in.us,South Bend,Indiana,46614,(219) 608-8874,Multi-Site Parent,16,
0013u000015x1fBAAQ,Mountain Springs Cabot Public Schools PreK - Location 3,Customer (Non-Premium),SaaS Only Activated,Inactive,,No,"Website, Contact Email",cabot.k12.ar.us,Cabot,ARKANSAS,72023,(501) 843-3363,Multi-Site Child,38,
0013u00001dUWgdAAG,Philomath High School - Little Warrior Preschool,Active Premium Customer,SaaS Only Activated,Premium,$50.00,No,"Website, Contact Email",philomath.k12.or.us,Philomath,Oregon,97370,5419293211 1333,Single-Site,21,
0013u00001B0MoaAAF,Clearfield ETEC,Active Premium Customer,SaaS Only Activated,Premium,$42.50,No,Website,https://southclearfield.davis.k12.ut.us/school-information/administration/school-information,Clearfield,Utah,84015,801-402-8230,Multi-Site Child,21,
0013u00001kwb1yAAA,Future Flyers Preschool,Active Premium Customer,SaaS Only Activated,Premium,$0.10,No,"Website, Contact Email",lsc.k12.in.us,Lafayette,Indiana,47904,(317) 828-5525,Single-Site,21,
001Rd000009CTp3IAG,South Point Local Schools,Customer (Non-Premium),SaaS Only Activated,Premium,,No,Website,southpoint.k12.oh.us,,Ohio,,7403772756,Multi-Site Parent,21,
0013u00001J0iMJAAZ,Sunrise Children's Club Preschool - LAE,Cancelled Customer,SaaS and Billing Activated,Free,,No,Website,http://www.rimsd.k12.ca.us,Crestline,CALIFORNIA,92378,19093377275,Multi-Site Child,21,No
0013u00001XmirUAAR,The Leetonia Bears To Bee Preschool Inc.,Active Premium Customer,SaaS and Billing Activated,Premium,$65.00,No,Website,leetonia.k12.oh.us,Leetonia,Ohio,44431,3304276594,Single-Site,20,Yes
001Rd00000BJMXyIAP,Scott County School District 2 - Vienna Finley Elementary,Active Premium Customer,SaaS Only Activated,Premium,$0.10,No,"Contact Email, Name (District)",,,,,,Multi-Site Child,20,
0013u00001RQ6KEAA1,Fairview Eagle’s Nest Preschool,Active Premium Customer,SaaS and Billing Activated,Premium,$41.67,No,Website,WWW.FAIRVIEW.K12.MI.US,FAIRVIEW,Michigan,48621,19892555412,Single-Site,18,Yes
001Rd00000DI9VDIA1,North Charleston Elementary Employee Childcare,Customer (Non-Premium),SaaS and Billing Activated,,,No,"Website, Contact Email",charleston.k12.sc.us,Ladson,North Carolina,29456,843-937-7914,Multi-Site Parent,,
0013u000015x1fDAAQ,Northside Pre-K - Location 5,Customer (Non-Premium),SaaS Only Activated,Inactive,,No,"Website, Contact Email",cps.k12.ar.us,,Arkansas,,(501) 843-3363,Multi-Site Child,75,
0013u00001Fl47HAAR,Centaur Beginnings,Active Premium Customer,SaaS Only Activated,Premium,$29.25,No,Website,brookcntr.k12.mn.us,Brooklyn Center,Minnesota,55430-0000,(763) 503-8982,Multi-Site Parent,18,
0011I0000117sDlQAI,Gilead Hill School,Cancelled Customer,SaaS Only Activated,Free,,No,"Website, Contact Email",hebron.k12.ct.us,STORRS MANSFIELD,Connecticut,6268,1(860)977-1935,Multi-Site Parent,18,
001PB00000Nsd0pYAB,nampa and district daycare,Active Premium Customer,SaaS and Billing Activated,Premium,$69.00,No,Name (District),iwantwireless.ca,Nampa,Alberta,T0H 2R0,17806915009,Single-Site,17,Yes
001Rd000000mX8AIAU,Searcy School District - Location 2,Active Premium Customer,SaaS and Billing Activated,Premium,,No,Name (District),,,,,,Multi-Site Child,16,Yes
0013u00001eOR3ZAAW,Williamsburg Community Child Care,Customer (Non-Premium),SaaS Only Activated,Premium,,No,"Website, Contact Email",williamsburg.k12.ia.us,,Iowa,,(319) 929-3405,Single-Site,15,
001Rd000000yzlOIAQ,Three Forks,Active Premium Customer,SaaS Only Activated,Premium,$41.67,No,"Website, Contact Email",threeforks.k12.mt.us,,Montana,,406-285-6830,Single-Site,14,
0013u00001bQEYJAA4,USD 243 Waverly district,Active Premium Customer,SaaS and Billing Activated,Premium,$27.50,No,Name (District),usd243ks.org,,KS,,6207578505,Multi-Site Child,14,Yes
001PB00000TLejNYAT,Twin Valley South High School,Customer (Non-Premium),SaaS Only Activated,Inactive,,No,Website,tvs.k12.oh.us,West Alexandria,OH,45381,9378394693,,122,
0013u000015x1fCAAQ,Ward Central Cabot Public Schools PreK - Location 4,Customer (Non-Premium),SaaS Only Activated,Inactive,,No,"Website, Contact Email",cps.k12.ar.us,,Arkansas,,(501) 843-3363,Multi-Site Child,54,
0013u00001fGK1oAAG,Wonderland Family,Active Premium Customer,SaaS and Billing Activated,Premium,$25.00,No,Website,http://www.losalusd.k12.ca.us/,Seal Beach,CALIFORNIA,90713,5629657302,Single-Site,14,Yes
0013u000015x1fEAAQ,Westside Pre-K - Location 6,Customer (Non-Premium),SaaS Only Activated,Inactive,,No,"Website, Contact Email",cabot.k12.ar.us,Cabot,Arkansas,72023,(501) 843-3363,Multi-Site Child,59,
0013u00001pJ7cnAAC,Hillsboro High School little Spartan Preschool,Active Premium Customer,SaaS and Billing Activated,Premium,$50.00,No,Contact Email,hsd.k12or.us,Hillsboro,Oregon,97124,(503) 844-1988,Single-Site,13,Yes
001PB00000PuoF5YAJ,Minnewaukan Public School Daycare,Active Premium Customer,SaaS and Billing Activated,Premium,$49.00,No,"Website, Contact Email",https://www.pingree-buchanan.k12.nd.us/,Minnewaukan,North Dakota,58351,7012525563,Single-Site,13,Yes
001PB00000b7jZPYAY,growing minds,Prospect,Onboarding,Trialing,$0.01,No,"Website, Contact Email",student.onslow.k12.nc.us,,North Carolina,,(252)470-5199,,,
001PB00000aKyjFYAS,ABC Preschool,Prospect,Onboarding,,,No,Contact Email,https://www.fcmustangs.net/32553_4,Forrest City,Arkansas,72335-2813,(870) 261-1807,,,
0013u00001MXqoqAAD,Alcorn School District,Prospect,Onboarding,,,No,Name (District),alcornschools.org,,Mississippi,,6622863202,,,
001PB00000OAeKwYAL,Alexandria-Monroe Elementary,Prospect,Onboarding,,,No,"Website, Contact Email",alex.k12.in.us,Alexandria,Indiana,46001,7657247788,,,
001Rd0000086v0eIAA,Allegheny Vly Y Sacc-Freeport,Prospect,Onboarding,,,No,Website,http://www.freeport.k12.pa.us/225210420135152300/site/default.asp,Freeport,PA,16229,4124005729,,,
001PB00000Q2uwoYAB,Alvarado Elementary School,Prospect,Onboarding,,,No,Contact Email,http://aes.mynhusd.org/,Union City,California,94587,5104711039,,,
001Rd0000086qXFIAY,Barton Elementary,Prospect,Onboarding,,,No,"Website, Contact Email",milwaukee.k12.wi.us,Milwaukee,WI,53223,4143933900,,,
001PB00000YQTfcYAH,Bay District Schools,Prospect,Onboarding,,,No,"Website, Contact Email, Name (District)",bay.k12.fl.us,,Florida,,8505323880,,,
001Rd0000086mAHIAY,Bay View Montessori School,Prospect,Onboarding,,,No,Website,milwaukee.k12.wi.us,Milwaukee,WI,53207,4149350700,,,
001PB00000P8fKbYAJ,Beaufort Elementary Preschool - Carteret County Public Schools,Prospect,Onboarding,,,No,Contact Email,https://bes.carteretcountyschools.org/,Beaufort,North Carolina,28516,(252) 728-3316,,,
001PB00000XHs97YAD,Belmont Community School District,Prospect,Onboarding,Free,,Yes,"Website, Contact Email, Name (District)",belmont.k12.wi.us,Belmont,Wisconsin,53510,(608) 762-5131,,,
001PB00000WbKmwYAF,Belmont-Redwood Shores School District,Prospect,Onboarding,,,No,Name (District),http://www.brssd.org,Belmont,California,94002,16506374800,,,
001PB00000bTE3vYAG,Bend Parks and Recreation District,Prospect,Onboarding,,,No,Name (District),bendparksandrec.org,,Oregon,,(541) 410-3913,,,
001PB00000KH0ZaYAL,Bethune Academy,Prospect,Onboarding,,,No,Website,milwaukee.k12.wi.us,Milwaukee,WI,53208,14143520368,,,
0011I00000EFoayQAD,Bibb County School District,Prospect,Onboarding,,,No,Name (District),bcsdk12.net,Macon,Georgia,31204,4787658501,,,
001Rd00000GPZXeIAP,BISD District Day Care @ Cedar Creek Elem.,Prospect,Onboarding,,,No,Name (District),http://cce.bisdtx.org/,Cedar Creek,TX,78612,512-332-2677,,,
0013u00001OHt91AAD,Boronda Meadows,Prospect,Onboarding,,,No,"Website, Contact Email",https://sites.google.com/salinascity.k12.ca.us/borondameadows/home,Salinas,CA,93907,8317845400,,,
001PB00000TiGQ9YAN,Boynton Elementary: Boynton Beyond After School Program,Prospect,Onboarding,Free,,No,"Website, Contact Email",catoosa.k12.ga.us,Rossville,Georgia,30741,(706) 866-1521,,,
001PB00000ZQqQEYA1,Bright Futures Student Enrichment -Lucia Mar School District,Prospect,Onboarding,,,No,Name (District),lmusd.org,,California,,(805) 474-3000,,,
001PB00000Q7GVnYAN,Bristol twp school district,Prospect,Onboarding,,,No,Name (District),bristoltwpsd.org,,Pennsylvania,,12159433200,,,
001Rd0000086qk8IAA,Burbank Elementary,Prospect,Onboarding,,,No,Website,milwaukee.k12.wi.us,Milwaukee,WI,53214,4142568400,,,
0013u00001Fid10AAB,Burke County Board of Education Inc Early Head Start,Prospect,Onboarding,,,No,"Website, Contact Email",burke.k12.ga.us,Waynesboro,Georgia,30830,17065542306,,,
001PB00000KGdEqYAL,Burke County Board-Education,Prospect,Onboarding,,,No,Website,https://www.burke.k12.ga.us/,Waynesboro,GA,30830,7065545101,,,
001PB00000YamIgYAJ,Byron Public Schools - Byron Preschool,Prospect,Onboarding,Free,,Yes,"Website, Contact Email",byron.k12.mn.us,,Minnesota,,507-775-2336,,,
001Rd00000FE1DJIA1,C.U.S.D.#24 - CHINLE ELEMENTARY SCHOOL PRE SCHOOL,Prospect,Onboarding,,,No,"Website, Contact Email",chinleusd.az.k12.us,Chinle,Arizona,86503,(928)674-9300,,,
001PB00000HeIZCYA3,C.U.S.D.#24 - TSAILE PUBLIC SCHOOL,Prospect,Onboarding,,,No,"Website, Contact Email",http://www.chinleusd.k12.az.us/tse/preschool/,Chinle,Arizona,86556,(928)674-9100,,,
0013u000019ovIpAAI,Carlisle Pre-K,Prospect,Onboarding,,,No,"Website, Contact Email",carlisle.k12.ar.us,,,,#ERROR!,,,
001Rd0000086eatIAA,Carus School,Prospect,Onboarding,,,No,"Website, Contact Email",candy.k12.or.us,Oregon City,Oregon,97045,5032637190,,,
001Rd00000DrMJDIA3,Casa Montessori Preschool,Prospect,Onboarding,,,No,Website,www.fms.k12.nm.us,FARMINGTON,New Mexico,98258,5055998768,,,
001PB00000aAcVVYA0,Castaic Union School District,Prospect,Onboarding,Free,,No,Name (District),castaicusd.com,,California,,6617141408,,,
001PB00000aaiaXYAQ,Cccc,Prospect,Onboarding,Free,,No,Website,https://www.hes.ccpsd.k12.va.us/en-US/staff,Hillsville,VA,24343,2767339021,,,
0013u00001HRpj1AAD,Cedar Kids Learning Center,Prospect,Onboarding,,,No,Website,http://www.huensd.k12.ca.us/o/sunkist-elementary,LA MARQUE,Texas,77568,409-877-2409,,,
001Rd000002R8BdIAK,Cedar River Academy At Taylor,Prospect,Onboarding,,,No,Website,http://cr.k12.ia.us,Cedar Rapids,IA,52404,3195582477,,,
001Rd000002REc3IAG,Centennial High School,Prospect,Onboarding,,,No,"Website, Contact Email",http://centennial.cnusd.k12.ca.us,Corona,California,92881,9517395670,,,
001PB00000aI9WMYA0,Centennial Preschool,Prospect,Onboarding,Free,,No,"Website, Contact Email",https://www.centennial.k12.co.us/,San Luis,Colorado,81152,17196723232,,1,
001PB00000OppKPYAZ,Central Elem.,Prospect,Onboarding,,,No,"Website, Contact Email",fcsd.grsc.k12.ar.us,,Tennessee,,8707141518,,,
001PB00000aKfGqYAK,Century Adventures,Prospect,Onboarding,,,No,"Website, Contact Email",parkrapids.k12.mn.us,,Minnesota,,(218) 252-9554,,,
001Rd000001h5jpIAA,Chabot-Las Positas Community College District,Prospect,Onboarding,,,No,Name (District),,,ON,,2092024051,,,
0013u00001a9v41AAA,Chapel Hill Carrboro City School,Prospect,Onboarding,,,No,Website,northampton.k12.nc.us,,North Carolina,,2525324141,,,
001PB00000M8iooYAB,Child Development-State Preschool-Mountain View,Prospect,Onboarding,,,No,Website,clovisusd.k12.ca.us,Fresno,California,93720,5593277528,,,
0013u00001QZxnbAAD,CHILDREN'S COTTAGE OF INDIANA,Prospect,Onboarding,,,No,Website,flatrock.k12.in.us,Columbus,IN,46721,8123501416,,,
001PB00000HeIZBYA3,Chinle Unified School District #24,Prospect,Onboarding,,,No,"Website, Contact Email, Name (District)",http://www.chinleusd.k12.az.us/tse/preschool/,Chinle,Arizona,86556,(928) 674-9100,,,
001PB00000a0fHsYAI,CIF CENTRAL SECTION WEBSITE,Prospect,Onboarding,,,No,Contact Email,www.tcoe.org,Porterville,California,93257,(559) 783-9490,,,
001Rd00000878vYIAQ,Clackamas County Education Service District,Prospect,Onboarding,,,No,"Contact Email, Name (District)",https://www.cccchs.org/about/locations/,Portland,OR,97222,5033535531,Government Payer,,
001PB00000VG3CzYAL,Cleveland Hill Union Free School District,Prospect,Onboarding,Free,,No,Name (District),https://www.justforkidsonline.org/,Buffalo,New York,14225,(716) 836-7200,,,
001PB00000Ma4N0YAJ,Cobb County District Asp-Harmony Leland Elementary School,Prospect,Onboarding,,,No,Name (District),,Mableton,Georgia,30126,16785816829,,,
001PB00000YPSYdYAP,Cohoes City School District,Prospect,Onboarding,,,No,Name (District),cohoes.org,,New York,,(518) 237-0100,,,
001PB00000PCUomYAH,Cole-Harrington Preschool,Prospect,Onboarding,,,No,Website,https://www.norwood.k12.ma.us/willett/about-the-preschool,Norwood,,2062,7818284770,,,
001PB00000Ki0nBYAR,Columbia School,Prospect,Onboarding,,,No,Website,https://www.davis.k12.ut.us/,Kaysville,Utah,84037,8014025600,,,
001Rd000009QKigIAG,Community Development Institute,Prospect,Onboarding,,,No,Website,http://helenkeller.lynwood.k12.ca.us/,Lynwood,CA,90262,3106399001,,,
001Rd00000Fm4qJIAR,Concord School District,Prospect,Onboarding,,,No,Name (District),sau8.org,,New Hampshire,,(603) 230-1503,,,
001PB00000Pufa2YAB,Cortez Elementary,Prospect,Onboarding,,,No,Website,http://www.pomona.k12.ca.us,Pomona,California,91766,9093974800,,,
001Rd000007qT5DIAU,COUNCIL BLUFFS COMMUNITY SCHOOL DISTRICT,Prospect,Onboarding,,,No,Name (District),http://calvarygp.net/calvary-baptist-church-grand-prairie-tx.html,Grand Prairie,Texas,75050-5629,(972) 262-8507,,,
001Rd000007O0xKIAS,Crocker Highlands Elementary School,Prospect,Onboarding,,,No,Website,http://mattos.fremont.k12.ca.us,Oakland,CA,94610,5104515900,,,
001Rd000002RIkUIAW,Culver Community Elementary Preschool,Prospect,Onboarding,,,No,Contact Email,bgcpoco.org,Culver,IN,46511,5748423389,,,
001PB00000PCkYaYAL,Davis School District,Prospect,Onboarding,,,No,Name (District),facebook.com/wearewasatch/about/,Clearfield,Utah,84015,(801) 903-0319,,,
0013u00001WTXLQAA5,Day Care Preschool,Prospect,Onboarding,,,No,"Website, Contact Email",cheraw.k12.co.us,Cheraw,CO,81030,17198536655,,,
001PB00000b0yYQYAY,District 50 Latchkey,Prospect,Onboarding,,,No,Name (District),https://twhsp.org/green-valley-head-start/,Washington,Illinois,61571,(309) 264-3000,,,
001PB00000anQW5YAM,Docker Care,Prospect,Onboarding,,,No,Website,https://www.ashland.k12.wi.us/Domain/11,Ashland,Wisconsin,54806,7156827821,,,
001PB00000P4sgBYAR,Douglas County School District,Prospect,Onboarding,,,No,Name (District),www.dcsdk12.org,Highlands Ranch,Colorado,80126,7204741837,,,
001PB00000JmWYwYAN,Dunlap Head Start,Prospect,Onboarding,,,No,Website,sequatchie.k12.tn.us,Dunlap,TN,37327,4234037542,,,
001PB00000JmWYvYAN,Dunlap Head Start,Prospect,Onboarding,,,No,Website,sequatchie.k12.tn.us,Dunlap,TN,37327,4239495015,,,
001PB00000OApRdYAL,Dunning Elementary/ Dunning Explorers,Prospect,Onboarding,,,No,"Website, Contact Email",framingham.k12.ma.us,Framingham,Massachusetts,1701,(774) 423-4242,,,
001PB00000bXT9BYAW,Duxbury Extended Day,Prospect,Onboarding,,,No,"Website, Contact Email",duxbury.k12.ma.us,,Massachusetts,,17819347680,,,
001PB00000aY4kQYAS,East Poinsett County School District,Prospect,Onboarding,,,No,"Contact Email, Name (District)",https://dhs.arkansas.gov/dccece/cclas/facilityinformation.aspx?facilitynumber=22566,Tyronza,Arkansas,72386,8704872259,,,
001PB00000GstZOYAZ,East Whittier City School District,Prospect,Onboarding,,,No,Name (District),,Whittier,California,90604-2324,562-619-7524,,,
0011I00000nbuAtQAI,Egg Harbor Township Kids Klub,Prospect,Onboarding,,,No,"Website, Contact Email",eht.k12.nj.us,Egg Harbor Township,New Jersey,8234,6096468441 x1008,,,
001PB00000YNieHYAT,El Dorado Community School,Prospect,Onboarding,,,No,Contact Email,sfps.k12mm.us,Santa Fe,New Mexico,87508,5054674900,,,
001PB00000UHEJtYAP,El Puente Academy For Peace And Justice,Prospect,Onboarding,,,No,"Website, Contact Email",https://milwaukieelpuente.nclack.k12.or.us/,Portland,Oregon,97222,5033535495,,,
001Rd00000FPHwIIAX,Elkhart Area Career Center,Prospect,Onboarding,,,No,Website,elkhart.k12.in.us,Elkhart,IN,46514,5742625650,,,
001Rd00000FPHwHIAX,Elkhart Community Schools Teenage Parent Program,Prospect,Onboarding,,,No,"Website, Contact Email",elkhart.k12.in.us,Elkhart,Indiana,46514,574-262-5833,,,
0013u00001LJqWvAAL,Elmore County Child Development,Prospect,Onboarding,,,No,Website,elmore.k12.al.us,Eclectic,Alabama,36024,(334) 541-4532,,,
001Rd000003LURBIA4,Elwood Elementary Preschool,Prospect,Onboarding,,,No,"Website, Contact Email",elwood.k12.in.us,Elwood,Indiana,46036,(765) 552-2826,,,
001PB00000bBaajYAC,Elzora Town Daycare Center,Prospect,Onboarding,,,No,"Website, Contact Email",https://www.se-warren.k12.ia.us/en-US/daycare-2447ee86/elzora-town-daycare-center-home-8b7f849a,Milo,Iowa,50166,641-942-6138,,,
001PB00000OAnxiYAD,Emanuel County Early Head Start,Prospect,Onboarding,,,No,"Website, Contact Email",emanuel.k12.ga.us,Swainsboro,Georgia,30401,(478) 237-9593,,,
001PB00000PFTg3YAH,Ervin Carlisle Elementary,Prospect,Onboarding,,,No,Website,http://dcs.k12.oh.us/,Delaware,Ohio,43015,7408331853,,,
001PB00000PFTg4YAH,Ervin Carlisle Elementary School,Prospect,Onboarding,,,No,Website,http://dcs.k12.oh.us/,Delaware,Ohio,43015,7408331450,,,
001PB00000NfWBcYAN,Everetts Elementary School - Halifax County Schools,Prospect,Onboarding,,,No,Website,in.halifax.k12.nc.us,Enfield,North Carolina,27823,2525375484,,,
001PB00000Khyn1YAB,Family Enrichment Center,Prospect,Onboarding,,,No,Website,https://www.davis.k12.ut.us/page/early-childhood-programs,Kaysville,UT,84037,8014020650,,,
001Rd00000GEI3wIAH,Ferguson-Florissant School District,Prospect,Onboarding,,,No,Name (District),,Ferguson,MO,63135,3145215972,,,
001Rd0000086krbIAA,Fernwood Montessori,Prospect,Onboarding,,,No,Website,https://mps.milwaukee.k12.wi.us/Schools/Fernwood-Montessori-School.htm,Milwaukee,WI,53207,4142941300,,,
001PB00000M8rlgYAB,Foothils Park & Recration District,Prospect,Onboarding,,,No,Name (District),https://www.ifoothills.org/preschool-child-care/#all-day-care,Littleton,CO,80127,(720) 582-6103,,,
001PB00000GQ316YAD,"Fort Wayne Community Schools Title 1 Pre-K at Fairfield, Study and South Wayne",Prospect,Onboarding,,,No,Contact Email,https://www.discoverchampions.com/our-locations/fort-wayne/in/003163?utm_campaign=cp-lg&utm_source=yext&utm_medium=pro&utm_keyword=&utm_platform=&utm_matchtype=&utm_adgroupid=&utm_content=gmb&y_source=1_MjAwNDMxNjg3Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Fort Wayne,Indiana,46802,(260) 467-5900,,,
001PB00000M8qhWYAR,Fowler Learning Center,Prospect,Onboarding,,,No,Website,http://www.fowler.k12.ca.us,Fowler,CA,93625,5598342915,,,
001Rd0000086v0fIAA,Freeport Kdg Center,Prospect,Onboarding,,,No,Website,http://www.freeport.k12.pa.us/225210420135152300/site/default.asp,Freeport,PA,16229,7242959250,,,
001PB00000ZfnQSYAZ,Fulton City School District,Prospect,Onboarding,,,No,Name (District),fulton.cnyric.org,,New York,,(315)591-1606,,,
001Rd0000087D0jIAE,Futures Early Learning Center Llc,Prospect,Onboarding,,,No,Website,http://ees.fz.k12.mo.us/,Clifton,CO,81520,19709854255,,,
0013u00001W18JLAAZ,Ganado Primary School,Prospect,Onboarding,,,No,"Website, Contact Email",https://www.ganado.k12.az.us/,Ganado,AZ,86505,9287551020,,,
001PB00000Q0s7yYAB,Garden Grove Unified School District,Prospect,Onboarding,,,No,Name (District),ggusd.us,Spring Valley,California,91977,(619) 303-1541,,,
001PB00000GpmkZYAR,Gloucester County Public Schools,Prospect,Onboarding,Free,,Yes,"Website, Contact Email",gc.k12.va.us,Hayes,Virginia,23072,804-693-7498,,,
0013u00001XBbvoAAD,Good Shepherd School,Prospect,Onboarding,,,No,Contact Email,https://gsspre.com/about-us/,Boring,Oregon,97009,5036635280,,,
001Rd000002CsBZIA0,Greene County Tech Preschool,Prospect,Onboarding,,,No,"Website, Contact Email",gctsd.k12.ar.us,PARAGOULD,Arkansas,72450,(870) 215-4470,,,
001Rd000002CsBaIAK,Greene County Tech Preschool Page,Prospect,Onboarding,,,No,Website,gctsd.k12.ar.us,Paragould,AR,72450,8702362762,,,
001PB00000Q3BjCYAV,Gresham High Child Development Center-Gresham-Barlow School District,Prospect,Onboarding,,,No,Name (District),https://ctsi.nsn.us/,Portland,Oregon,97230,(503) 674-5500,,,
001Rd0000086o0kIAA,Halifax,Prospect,Onboarding,Free,,No,"Website, Contact Email",halifax.k12.nc.us,,North Carolina,,2529553216,,,
001PB00000R5k4KYAR,Hart Public Schools,Prospect,Onboarding,,,No,Contact Email,hartschools.net,Hart,Michigan,49420,(231)873-6330,,,
001Rd000002Qdj0IAC,Hcps Mintz Elem H.O.S.T.,Prospect,Onboarding,,,No,Website,http://www.sdhc.k12.fl.us/schools/3061/,Brandon,FL,33511,8137448353,,,
001PB00000auJEXYA2,hearts daycare,Prospect,Onboarding,,,No,"Website, Contact Email",stu.k12.wv.us,,Virginia,,(304) 952-2407,,,
0013u00001SJ9GbAAL,Hebron Elementary School,Prospect,Onboarding,Free,,No,"Website, Contact Email",http://www.lakewoodlocal.k12.oh.us,HEBRON,Ohio,43025,(740) 928-2661,,5,
001Rd00000FDawHIAT,Highland Elementary School,Prospect,Onboarding,,,No,"Website, Contact Email",https://www.abss.k12.nc.us/o/highlandes,Burlington,North Carolina,27215,13365388700,,,
001Rd0000034DeUIAU,Hinsdale County School District Re 1,Prospect,Onboarding,,,No,Name (District),lakecityschool.org,LAKE CITY,Colorado,81235-0039,(970)944-2314,,,
001Rd0000034DeTIAU,Hinsdale County School District Re-1,Prospect,Onboarding,,,No,Name (District),,Lake City,Colorado,81235,9709442314,,,
001Rd000002jyV8IAI,Hot Springs County School District #1,Prospect,Onboarding,,,No,Name (District),,,Wyoming,,3078646528,,,
0011I00001EJ5goQAD,Howell PAL,Prospect,Onboarding,Free,,No,"Website, Contact Email",https://msn.howell.k12.nj.us/,Farmingdale,New Jersey,7727,7329192825,Single-Site,1,
001Rd00000Cq37lIAB,Huntley Project,Prospect,Onboarding,Free,,Yes,"Website, Contact Email",huntley.k12.mt.us,Worden,Montana,59088,4062084057,,,
001PB00000OAWNRYA5,Indian Island School,Prospect,Onboarding,,,No,"Website, Contact Email",indian-island.mie.k12.me.us,Old Town,Maine,4468,2078274285,,,
